Date,Open,High,Low,Close,Volume
2023-01-01,100.5,102.3,99.8,101.2,1500000
2023-01-02,101.0,103.5,100.5,102.8,1600000
2023-01-03,102.5,104.0,101.8,103.5,1450000
2023-01-04,103.2,105.0,102.5,104.8,1700000
2023-01-05,104.5,106.2,103.8,105.5,1550000
2023-01-06,105.0,106.8,104.2,106.0,1620000
2023-01-07,105.8,107.5,105.0,107.2,1680000
2023-01-08,106.5,108.0,105.8,107.5,1590000
2023-01-09,107.0,108.5,106.2,108.0,1640000
2023-01-10,107.8,109.0,107.0,108.5,1720000
2023-01-11,108.2,110.0,107.5,109.8,1800000
2023-01-12,109.5,111.2,108.8,110.5,1750000
2023-01-13,110.0,111.8,109.2,111.0,1820000
2023-01-14,110.8,112.5,110.0,112.2,1880000
2023-01-15,111.5,113.0,110.8,112.8,1650000
2023-01-16,112.2,113.5,111.5,113.0,1720000
2023-01-17,112.8,114.0,112.0,113.5,1780000
2023-01-18,113.2,114.8,112.5,114.2,1850000
2023-01-19,113.8,115.2,113.0,114.8,1920000
2023-01-20,114.5,116.0,113.8,115.5,1780000
